#Philippiens 2:5-11#FRDBY##null#Qu'il y ait donc en vous cette pensée qui a été aussi dans le Christ Jésus,~LB~étant en forme de Dieu, n'a pas regardé comme un objet à ravir d'être égal à Dieu,~LB~mais s'est anéanti lui-même, prenant la forme d'esclave, étant fait à la ressemblance des hommes;~LB~et, étant trouvé en figure comme un homme, il s'est abaissé lui-même, étant devenu obéissant jusqu'à la mort, et à la mort de la croix.~LB~C'est pourquoi aussi Dieu l'a haut élevé et lui a donné un nom au-dessus de tout nom,~LB~afin qu'au nom de Jésus se ploie tout genou des êtres célestes, et terrestres, et infernaux,~LB~et que toute langue confesse que Jésus Christ est Seigneur, à la gloire de Dieu le Père.
#Romains 3:21-22#FRDBY#   #   #Mais maintenant, sans loi, la justice de Dieu est manifestée, témoignage lui étant rendu par la loi et par les prophètes,~LB~la justice, dis-je, de Dieu par la foi de Jésus Christ envers tous, et sur tous ceux qui croient; car il n'y a pas de différence,
#Jean 1:12#FRDBY#   #   #Mais à tous ceux qui l'ont reçu, il leur a donné le droit d'être enfants de Dieu, savoir à ceux qui croient en son nom;
#Actes 4:12#FRDBY#null#null#et il n'y a de salut en aucun autre; car aussi il n'y a point d'autre nom sous le ciel, qui soit donné parmi les hommes, par lequel il nous faille être sauvés.
#Romains 5:8-11#FRDBY##null#mais Dieu constate son amour à lui envers nous, en ce que, lorsque nous étions encore pécheurs, Christ est mort pour nous.~LB~Beaucoup plutôt donc, ayant été maintenant justifiés par son sang, serons-nous sauvés de la colère par lui.~LB~Car si, étant ennemis, nous avons été réconciliés avec Dieu par la mort de son Fils, beaucoup plutôt, ayant été réconciliés, serons-nous sauvés par sa vie.~LB~Et non-seulement cela, mais aussi nous nous glorifiions en Dieu par notre Seigneur Jésus Christ, par lequel nous avons maintenant reçu la réconciliation.
#Romains 5:1#FRDBY#   #   #Ayant donc été justifiés sur le principe de la foi, nous avons la paix avec Dieu par notre Seigneur Jésus Christ,
#Philippiens 4:6-7#FRDBY#null#null#vous inquiétez de rien, mais, en toutes choses, exposez vos requêtes à Dieu par des prières et des supplications avec des actions de grâces;~LB~et la paix de Dieu, laquelle surpasse toute intelligence, gardera vos coeurs et vos pensées dans le Christ Jésus.
#Éphésiens 2:8-9#FRDBY#   #   #Car vous êtes sauvés par la grâce, par la foi, et cela ne vient pas de vous, c'est le don de Dieu;~LB~non pas sur le principe des oeuvres, afin que personne ne se glorifie;
#Galates 3:26#FRDBY#   #   #car vous êtes tous fils de Dieu par la foi dans le Christ Jésus.
#Éphésiens 3:16-17#FRDBY#   #   #afin que, selon les richesses de sa gloire, il vous donne d'être fortifiés en puissance par son Esprit, quant à l'homme intérieur;~LB~de sorte que le Christ habite, par la foi, dans vos coeurs,
